Name,Producer,Watt_Bin
EVGA SuperNOVA 650 G2,EVGA,601-750W
EVGA SuperNOVA 650 P2,EVGA,601-750W
EVGA SuperNOVA 750 B1,EVGA,601-750W
EVGA SuperNOVA 750 B2,EVGA,601-750W
EVGA SuperNOVA 750 G1,EVGA,601-750W
EVGA SuperNOVA 750 P2,EVGA,601-750W
EVGA SuperNOVA 750 T2,EVGA,601-750W
EVGA SuperNOVA 850 B2,EVGA,751-900W
EVGA Supernova 850 G2L,EVGA,751-900W
EVGA SuperNOVA 850 G3,EVGA,751-900W
EVGA SuperNOVA 850 GS,EVGA,751-900W
EVGA SuperNOVA 850 P2,EVGA,751-900W
EVGA SuperNOVA 850 T2,EVGA,751-900W
EVGA SuperNOVA G1,EVGA,901-1200W
EVGA SuperNOVA G1,EVGA,601-750W
EVGA SuperNOVA G2,EVGA,751-900W
EVGA SuperNOVA G2L,EVGA,751-900W
EVGA SuperNOVA G2L 80 PLUS Gold,EVGA,601-750W
EVGA SuperNOVA G3,EVGA,451-600W
EVGA SuperNOVA G3,EVGA,601-750W
EVGA SuperNOVA G3,EVGA,751-900W
EVGA SuperNOVA GQ,EVGA,901-1200W
EVGA SuperNOVA GQ,EVGA,751-900W
EVGA SuperNOVA GQ,EVGA,601-750W
EVGA SuperNOVA GQ,EVGA,601-750W
EVGA SuperNOVA GS 550,EVGA,451-600W
EVGA SuperNOVA P2,EVGA,901-1200W
EVGA SuperNOVA P2,EVGA,
EVGA SuperNOVA T2,EVGA,
EVGA SuperNOVA T2,EVGA,901-1200W
EVGA SuperNOVA T2,EVGA,751-900W
EVGA W1,EVGA,451-600W
Fractal Design Ion SFX,Fractal Design,601-750W
Fractal Design Ion SFX,Fractal Design,451-600W
Fractal Design Ion+ Platinum,Fractal Design,601-750W
Fractal Design Ion+ Platinum,Fractal Design,751-900W
Fractal Design Ion+ Platinum,Fractal Design,451-600W
Fractal Design Ion+ Platinum,Fractal Design,751-900W
Gigabyte Aorus P750W,Gigabyte,601-750W
Gigabyte Aorus P850W,Gigabyte,751-900W
Gigabyte B700H 80 PLUS Bronze,Gigabyte,601-750W
Gigabyte G750H 80 PLUS Gold,Gigabyte,601-750W
Gigabyte P450B,Gigabyte,<=450W
Gigabyte P550B,Gigabyte,451-600W
Gigabyte P850GM,Gigabyte,751-900W
Gigabyte PB500,Gigabyte,451-600W
Gigabyte PW400,Gigabyte,<=450W
Gigabyte UD1000GM PG5,Gigabyte,901-1200W
Gigabyte UD1000GM PG5 2.0,Gigabyte,901-1200W
Gigabyte UD850GM PG5 2.0,Gigabyte,751-900W
Gigabyte XP1200M,Gigabyte,901-1200W
Impactics 65 Watt AC-DC Adapter für D1NU-Serie,Impactics,<=450W
Impactics 84 Watt AC-DC Adapter inkl. 130 Watt Wandlerplatine,Impactics,<=450W
IN WIN Classic C750 80Plus Platinum,IN WIN,601-750W
IN WIN Classic C900 80Plus Platinum,IN WIN,751-900W
IN WIN GreenMe,IN WIN,601-750W
IN WIN GreenMe,IN WIN,451-600W
IN WIN GreenMe,IN WIN,601-750W
IN WIN Power Man IP-P1K0BK7-2,IN WIN,901-1200W
IN WIN Power Man IP-P1K2BK7-2,IN WIN,901-1200W
InWin DESERT FOX Commander III 80 PLUS Gold,IN WIN,451-600W
InWin IP-AD180-2 H 80 Plus Bronze,InWin,<=450W
"InWin Power Man IP-S550HQ3-2, 80 PLUS Bronze",IN WIN,451-600W
"InWin Power Man IP-S650HQ3-2, 80 PLUS Bronze",IN WIN,601-750W
Kolink Classic Power 80 PLUS Bronze,Kolink,601-750W
Kolink Classic Power 80 PLUS Bronze,Kolink,451-600W
Kolink Classic Power 80 PLUS Bronze,Kolink,451-600W
Kolink Classic Power 80 PLUS Bronze,Kolink,<=450W
Kolink Continuum 80 PLUS Platinum,Kolink,901-1200W
Kolink Continuum 80 PLUS Platinum,Kolink,901-1200W
Kolink Continuum 80 PLUS Platinum,Kolink,
Kolink Continuum 80 PLUS Platinum,Kolink,751-900W
Kolink Continuum 80 PLUS Platinum,Kolink,901-1200W
Kolink Continuum 80 PLUS Platinum,Kolink,901-1200W
Kolink Core 80 PLUS,Kolink,<=450W
Kolink Core 80 PLUS,Kolink,451-600W
Kolink Core 80 PLUS,Kolink,<=450W
Kolink Core 80 PLUS,Kolink,451-600W
Kolink Core 80 PLUS,Kolink,601-750W
Kolink Core 80 PLUS,Kolink,901-1200W
Kolink Core 80 PLUS,Kolink,751-900W
Kolink Core RGB 80 PLUS,Kolink,451-600W
Kolink Core S Series 80 PLUS,Kolink,601-750W
Kolink Core S Series 80 PLUS,Kolink,451-600W
Kolink Core S Series 80 PLUS,Kolink,451-600W
Kolink Enclave 80 PLUS Gold,Kolink,451-600W
Kolink Enclave 80 PLUS Gold,Kolink,601-750W
Kolink KL-1000M,Kolink,901-1200W
Kolink KL-400 80 PLUS Bronze 400 Watt,Kolink,<=450W
Kolink KL-500,Kolink,451-600W
Kolink KL-500M,Kolink,451-600W
Kolink KL-600,Kolink,451-600W
Kolink KL-600M,Kolink,451-600W
Kolink KL-700,Kolink,601-750W
Kolink KL-700M,Kolink,601-750W
Kolink KL-850M,Kolink,751-900W
Kolink Modular Power 80 PLUS Bronze,Kolink,451-600W
Kolink Modular Power 80 PLUS Bronze,Kolink,601-750W
Kolink Modular Power 80 PLUS Bronze,Kolink,451-600W
Kolink Modular Power 80 PLUS Bronze,Kolink,751-900W
Kolink SFX-450,Kolink,<=450W
Lian Li PE-550B SFX-L,Lian Li,451-600W
Lian Li PE-750B SFX-L,Lian Li,601-750W
Lian Li SP750,Lian Li,601-750W
Lian Li SP750,Lian Li,601-750W
Lian Li SP850,Lian Li,751-900W
Lian Li SP850,Lian Li,751-900W
Montech Titan 1000W - 80 PLUS & Cybenetics Gold,Montech,901-1200W
Montech Titan 1200W - 80 PLUS & Cybenetics Gold,Montech,901-1200W
Montech Titan 850W - 80 PLUS & Cybenetics Gold,Montech,751-900W
MSI MEG Ai1300P PCIe5,MSI,
MSI MPG A1000G PCIe5,MSI,901-1200W
MSI MPG A850G PCIe5,MSI,751-900W
NZXT E500 Modular,NZXT,451-600W
NZXT E650 Modular,NZXT,601-750W
NZXT E850 Modular,NZXT,751-900W
PHANTEKS AMP 80 PLUS Gold,PHANTEKS,901-1200W
PHANTEKS AMP 80 PLUS Gold,PHANTEKS,751-900W
PHANTEKS AMP 80 PLUS Gold,PHANTEKS,601-750W
PHANTEKS AMP v2 80 PLUS Gold,PHANTEKS,901-1200W
PHANTEKS AMP v2 80 PLUS Gold,PHANTEKS,901-1200W
PHANTEKS Revolt Pro 80 PLUS Gold,PHANTEKS,751-900W
PHANTEKS Revolt Pro 80 PLUS Gold,PHANTEKS,901-1200W
PHANTEKS Revolt SFX 80 PLUS Gold,PHANTEKS,601-750W
PHANTEKS Revolt SFX 80 PLUS Gold,PHANTEKS,601-750W
PHANTEKS Revolt SFX 80 PLUS Platinum,PHANTEKS,601-750W
PHANTEKS Revolt SFX 80 PLUS Platinum,PHANTEKS,751-900W
PHANTEKS Revolt X 80 PLUS Platinum,PHANTEKS,901-1200W
PHANTEKS Revolt X 80 PLUS Platinum,PHANTEKS,901-1200W
Seasonic CONNECT 750 Gold,Seasonic,601-750W
Seasonic Eco 80 PLUS Bronze,Seasonic,<=450W
Seasonic FOCUS 650 GOLD,Seasonic,601-750W
Seasonic FOCUS 750 GOLD,Seasonic,601-750W
Seasonic Focus 80 PLUS Gold,Seasonic,<=450W
Seasonic Focus 80 PLUS Gold,Seasonic,601-750W
Seasonic Focus 80 PLUS Platinum,Seasonic,601-750W
Seasonic Focus GX 80 PLUS Gold,Seasonic,901-1200W
Seasonic Focus Plus,Seasonic,751-900W
Seasonic Focus Plus Gold,Seasonic,451-600W
Seasonic Focus Plus Gold,Seasonic,601-750W
Seasonic Focus Plus Gold,Seasonic,601-750W
Seasonic Focus Plus Gold,Seasonic,901-1200W
Seasonic Focus Plus PCGH Edition,Seasonic,451-600W
Seasonic Focus Plus Platinum,Seasonic,451-600W
Seasonic Focus PX 80 PLUS Platinum,Seasonic,451-600W
Seasonic Focus PX 80 PLUS Platinum,Seasonic,751-900W
Seasonic Focus PX 80 Plus Platinum 650 Watt,Seasonic,601-750W
Seasonic Focus SGX 80 PLUS Gold SFX,Seasonic,<=450W
Seasonic Focus SGX 80 PLUS Gold SFX,Seasonic,601-750W
Seasonic Focus SGX 80 PLUS Gold SFX-L,Seasonic,451-600W
Seasonic Focus+,Seasonic,601-750W
Seasonic Focus+,Seasonic,601-750W
Seasonic Focus+,Seasonic,751-900W
Seasonic G-360,Seasonic,<=450W
Seasonic G-450,Seasonic,<=450W
Seasonic G-550,Seasonic,451-600W
Seasonic G-Series,Seasonic,601-750W
Seasonic G-Series,Seasonic,451-600W
Seasonic G-Series,Seasonic,451-600W
Seasonic G-Series,Seasonic,601-750W
Seasonic G-Series,Seasonic,<=450W
Seasonic G-Series,Seasonic,<=450W
Seasonic G12 80 PLUS Gold,Seasonic,601-750W
Seasonic G12 80 PLUS Gold,Seasonic,601-750W
Seasonic G12 80 PLUS Gold,Seasonic,451-600W
Seasonic G12-GC-550 Gold,Seasonic,451-600W
Seasonic G12-GC-650 Gold,Seasonic,601-750W
Seasonic M12II 850,Seasonic,751-900W
Seasonic M12II Evo,Seasonic,601-750W
Seasonic M12II EVO 620,Seasonic,601-750W
Seasonic M12II Evo 80 PLUS Bronze,Seasonic,451-600W
"Seasonic M12II Evo, AM2 80 PLUS Bronze",Seasonic,601-750W
Seasonic P-Series,Seasonic,901-1200W
Seasonic P-Series,Seasonic,751-900W
Seasonic P-Series,Seasonic,451-600W
Seasonic P-Series,Seasonic,751-900W
Seasonic P-Series,Seasonic,601-750W
Seasonic Platinum 1000,Seasonic,901-1200W
Seasonic Platinum 460 Fanless,Seasonic,451-600W
Seasonic Platinum 520 Fanless,Seasonic,451-600W
Seasonic PLATINUM 660,Seasonic,601-750W
Seasonic Platinum 760,Seasonic,751-900W
Seasonic PLATINUM 860,Seasonic,751-900W
Seasonic Prime,Seasonic,751-900W
Seasonic Prime,Seasonic,901-1200W
Seasonic Prime,Seasonic,601-750W
Seasonic Prime,Seasonic,601-750W
Seasonic Prime,Seasonic,601-750W
Seasonic Prime,Seasonic,451-600W
Seasonic Prime,Seasonic,601-750W
Seasonic Prime,Seasonic,751-900W
Seasonic Prime,Seasonic,901-1200W
Seasonic PRIME 1200 PLATINUM,Seasonic,901-1200W
Seasonic PRIME 1200 W Gold,Seasonic,901-1200W
Seasonic PRIME 750 GOLD,Seasonic,601-750W
Seasonic Prime 80 PLUS Gold,Seasonic,
Seasonic Prime 80 PLUS Platinum,Seasonic,
Seasonic Prime Fanless 80 PLUS Titanium,Seasonic,451-600W
Seasonic Prime Fanless PX,Seasonic,<=450W
Seasonic Prime Fanless PX,Seasonic,451-600W
Seasonic Prime Fanless TX,Seasonic,601-750W
Seasonic PRIME Fanless TX-600,Seasonic,451-600W
Seasonic Prime GX 80 PLUS Gold,Seasonic,601-750W
Seasonic Prime Snow Silent 80 PLUS Gold,Seasonic,451-600W
Seasonic Prime Snow Silent 80 PLUS Platinum,Seasonic,601-750W
Seasonic Prime Snow Silent 80 PLUS Titanium,Seasonic,601-750W
Seasonic Prime TX 80 PLUS Titanium,Seasonic,751-900W
Seasonic Prime Ultra,Seasonic,601-750W
Seasonic PRIME ULTRA 1000 GOLD,Seasonic,901-1200W
Seasonic PRIME Ultra 1000 W Platinum,Seasonic,901-1200W
Seasonic Prime Ultra 80 PLUS Gold,Seasonic,451-600W
Seasonic Prime Ultra 80 PLUS Platinum,Seasonic,751-900W
Seasonic Prime Ultra 80 PLUS Platinum,Seasonic,601-750W
Seasonic Prime Ultra 80 PLUS Platinum,Seasonic,901-1200W
Seasonic PRIME ULTRA 850 GOLD,Seasonic,751-900W
Seasonic S12G,Seasonic,451-600W
Seasonic S12G-750,Seasonic,601-750W
Seasonic S12II,Seasonic,<=450W
Seasonic S12II 430,Seasonic,<=450W
Seasonic S12II 620,Seasonic,601-750W
"Seasonic S12II, GB 80 PLUS Bronze",Seasonic,601-750W
"Seasonic S12II, GB 80 PLUS Bronze",Seasonic,451-600W
Seasonic S12III 80 PLUS Bronze,Seasonic,451-600W
Seasonic S12III 80 PLUS Bronze,Seasonic,601-750W
Seasonic S12III 80 PLUS Bronze,Seasonic,451-600W
Seasonic Snow Silent,Seasonic,601-750W
"Seasonic SS-350ES 80 PLUS Bronze, bulk",Seasonic,<=450W
Seasonic SS-400ES,Seasonic,<=450W
Seasonic Vertex GX 80 PLUS Gold,Seasonic,901-1200W
Seasonic Vertex GX 80 PLUS Gold,Seasonic,751-900W
Seasonic Vertex GX 80 PLUS Gold,Seasonic,901-1200W
Seasonic X-1050,Seasonic,901-1200W
Seasonic X-1250,Seasonic,
Seasonic X-650,Seasonic,601-750W
Seasonic X-850,Seasonic,751-900W
Seasonic X-Series,Seasonic,751-900W
Seasonic X-Series,Seasonic,601-750W
Seasonic X-Series,Seasonic,601-750W
Silentmaxx Fanless II,Silentmaxx,451-600W
Silverstone DA850-G,Silverstone,751-900W
Silverstone externes für Mini-STX Systeme 19V,Silverstone,<=450W
SilverStone NJ700 80 PLUS Titanium,Silverstone,601-750W
SilverStone SST-DA1650-G Decathalon Series 80 PLUS Gold,Silverstone,
Silverstone SST-ET500-ARGB,Silverstone,451-600W
Silverstone SST-ET550-B v1.2 ATX,Silverstone,451-600W
SilverStone SST-ET650-B v1.4 Strider Essential Series 80 PLUS Bronze,Silverstone,601-750W
SilverStone SST-ET750-B v1.1 Strider Essential Series 80 PLUS Bronze,Silverstone,601-750W
SilverStone SST-EX500-B Extreme SFX,Silverstone,451-600W
SilverStone SST-EX850R-PM Extreme SFX,Silverstone,751-900W
SilverStone SST-FX350-G Flex Series 80 PLUS Gold,Silverstone,<=450W
SilverStone SST-FX600-PT FX600 Platinum,Silverstone,451-600W
Silverstone SST-GM1000-2UG V2 redundantes 2HE-,Silverstone,901-1200W
SilverStone SST-GM400-1UB Gemini Series - 2x 400 Watt,Silverstone,<=450W
Silverstone SST-GM400-S Gemini Series redundantes,Silverstone,<=450W
Silverstone SST-GM500-G Gemini Series redundantes,Silverstone,451-600W
Silverstone SST-GM600-2UG - 2x 600 Watt,Silverstone,451-600W
Silverstone SST-GM600-2UG V2 redundantes 2HE-,Silverstone,451-600W
Silverstone SST-GM600-G Gemini Series redundantes,Silverstone,451-600W
Silverstone SST-GM800-2UG - 2x 800 Watt,Silverstone,751-900W
Silverstone SST-GM800-2UG V2 redundantes 2HE-,Silverstone,751-900W
SilverStone SST-HA850R-PM - Cybenetics Platinum,Silverstone,751-900W
Silverstone SST-NJ450-SXL Nightjar-Series,Silverstone,<=450W
Silverstone SST-NJ520 Nightjar-Series,Silverstone,451-600W
Silverstone SST-ST1000-G Strider Evolution v2.0 Gold Series,Silverstone,901-1200W
Silverstone SST-ST1000-P Strider,Silverstone,901-1200W
Silverstone SST-ST1000-PT Strider 80 PLUS Platinum,Silverstone,901-1200W
SilverStone SST-ST1000-PTS Strider Platinum Series 80 PLUS Platinum,Silverstone,901-1200W
Silverstone SST-ST1100-TI Strider 80 PLUS Titanium modular - 1.100 Watt,Silverstone,901-1200W
Silverstone SST-ST1200-G Strider Evolution Gold Series,Silverstone,901-1200W
Silverstone SST-ST1200-PT Strider 80 PLUS Platinum,Silverstone,901-1200W
SilverStone SST-ST1200-PTS Strider Platinum Series 80 PLUS Platinum,Silverstone,901-1200W
Silverstone SST-ST1300-TI Strider 80 PLUS Titanium modular - 1.300 Watt,Silverstone,
Silverstone SST-ST1300-TI v 2.0 Strider 80 PLUS Titanium,Silverstone,
Silverstone SST-ST1500-GS Strider Gold Series vollmodular,Silverstone,
Silverstone SST-ST1500-TI Strider 80 PLUS Titanium modular,Silverstone,
Silverstone SST-ST1500-TI v1.1,Silverstone,
Silverstone SST-ST30SF V2.0 Strider SFX Bronze,Silverstone,<=450W
Silverstone SST-ST40F-ES230 Strider Essential Series,Silverstone,<=450W
Silverstone SST-ST40F-ESB Strider Essential Series Bronze,Silverstone,<=450W
Silverstone SST-ST45SF V3.0 80 PLUS Bronze SFX,Silverstone,<=450W
Silverstone SST-ST45SF-G V2.0 Strider Serie SFX Gold,Silverstone,<=450W
Silverstone SST-ST50F-ES230 v2.0 Strider Essential Series,Silverstone,451-600W
Silverstone SST-ST50F-ESB Strider Essential Series Bronze,Silverstone,451-600W
Silverstone SST-ST50F-ESG Strider Essential Series Gold,Silverstone,451-600W
Silverstone SST-ST50F-PB Strider Plus Bronze modular,Silverstone,451-600W
Silverstone SST-ST55F-G V2.0 Strider Gold Series,Silverstone,451-600W
SilverStone SST-ST55F-PB Strider Plus Series 80 PLUS Bronze,Silverstone,451-600W
Silverstone SST-ST55F-PT Strider 80 PLUS Platinum,Silverstone,451-600W
Silverstone SST-ST55GF,Silverstone,451-600W
Silverstone SST-ST60F-ES230 Strider Essential Series,Silverstone,451-600W
Silverstone SST-ST60F-ESB Strider Essential Series Bronze,Silverstone,451-600W
Silverstone SST-ST60F-ESG Strider Essential Series Gold,Silverstone,451-600W
"Silverstone SST-ST60F-PB modular, Strider 80 PLUS Bronze",Silverstone,451-600W
Silverstone SST-ST60F-TI Strider 80 PLUS Titanium modular,Silverstone,451-600W
SilverStone SST-ST65F-ES230 Strider Essential Series 80 PLUS,Silverstone,601-750W
Silverstone SST-ST65F-G Strider Gold Series,Silverstone,601-750W
SilverStone SST-ST65F-GS v 1.1 Strider Gold S Series 80 PLUS Gold,Silverstone,601-750W
SilverStone SST-ST65F-PB Strider Plus Series 80 PLUS Bronze,Silverstone,601-750W
Silverstone SST-ST65F-PT Strider 80 PLUS Platinum,Silverstone,601-750W
Silverstone SST-ST70F-ES230 Strider Essential Series,Silverstone,601-750W
Silverstone SST-ST70F-ESB Strider Essential Series Bronze,Silverstone,601-750W
Silverstone SST-ST70F-ESG Strider Essential Series Gold,Silverstone,601-750W
"Silverstone SST-ST70F-PB modular, Strider 80 PLUS Bronze",Silverstone,601-750W
Silverstone SST-ST70F-TI Strider 80 PLUS Titanium modular,Silverstone,601-750W
Silverstone SST-ST75F-GS Strider Gold Series,Silverstone,601-750W
Silverstone SST-ST75F-GS v 3.1 Strider,Silverstone,601-750W
Silverstone SST-ST75F-P Strider Plus,Silverstone,601-750W
SilverStone SST-ST75F-PB Strider Plus Series 80 PLUS Bronze,Silverstone,601-750W
Silverstone SST-ST75F-PT Strider 80 PLUS Platinum,Silverstone,601-750W
Silverstone SST-ST80F-TI Strider 80 PLUS Titanium modular,Silverstone,751-900W
Silverstone SST-ST85F-GS Strider Gold Series,Silverstone,751-900W
Silverstone SST-ST85F-P Strider Plus,Silverstone,751-900W
Silverstone SST-ST85F-PT Strider 80 PLUS Platinum,Silverstone,751-900W
Silverstone SST-SX300-B SFX,Silverstone,<=450W
SilverStone SST-SX450-B SFX Series,Silverstone,<=450W
Silverstone SST-SX500-G SFX 80 PLUS Gold,Silverstone,451-600W
Silverstone SST-SX500-G v1.1 SFX,Silverstone,451-600W
Silverstone SST-SX500-LG v2.1 SFX-L,Silverstone,451-600W
Silverstone SST-SX550 SFX 80 PLUS Gold,Silverstone,451-600W
Silverstone SST-SX650-G SFX 80 PLUS Gold,Silverstone,601-750W
Silverstone SST-SX700-G v1.1 SFX,Silverstone,601-750W
Silverstone SST-SX700-LPT SFX-L 80 PLUS Platinum,Silverstone,601-750W
Silverstone SST-SX700-LPT v1.1 SFX-L,Silverstone,601-750W
Silverstone SST-SX700-PT SFX,Silverstone,601-750W
SilverStone SST-SX750-G 80 PLUS Gold,Silverstone,601-750W
Silverstone SST-SX750-PT V.1.1 SFX,Silverstone,601-750W
"Silverstone SST-TX300 TFX, 80 PLUS Bronze",Silverstone,<=450W
SilverStone SST-TX500-G TFX,Silverstone,451-600W
Silverstone SST-TX700-G TFX,Silverstone,601-750W
SilverStone ST500P,Silverstone,451-600W
Silverstone ST600P,Silverstone,451-600W
Silverstone ST700P,Silverstone,601-750W
Streacom ST-NANO120,Streacom,<=450W
Streacom ST-NANO150,Streacom,<=450W
Streacom ST-NANO160,Streacom,<=450W
Streacom ST-NANO90 HTPC-,Streacom,<=450W
Streacom ZeroFlex 240,Streacom,<=450W
Super Flower Golden Green HX,Super Flower,601-750W
Super Flower Golden Green HX,Super Flower,601-750W
Super Flower Golden Green HX,Super Flower,<=450W
Super Flower Golden Silent,Super Flower,451-600W
Super Flower Leadex,Super Flower,
Super Flower Leadex,Super Flower,901-1200W
Super Flower Leadex,Super Flower,901-1200W
Super Flower Leadex,Super Flower,901-1200W
Super Flower Leadex,Super Flower,751-900W
Super Flower Leadex,Super Flower,901-1200W
Super Flower Leadex,Super Flower,751-900W
Super Flower Leadex,Super Flower,451-600W
Super Flower Leadex,Super Flower,451-600W
Super Flower Leadex,Super Flower,601-750W
Super Flower Leadex,Super Flower,751-900W
Super Flower Leadex,Super Flower,901-1200W
Super Flower Leadex,Super Flower,451-600W
Super Flower Leadex,Super Flower,451-600W
Super Flower Leadex,Super Flower,451-600W
Super Flower Leadex,Super Flower,601-750W
Super Flower Leadex 80 PLUS Gold,Super Flower,
Super Flower Leadex 80 PLUS Platinum,Super Flower,901-1200W
Super Flower Leadex 80 PLUS Platinum,Super Flower,
Super Flower Leadex 80 PLUS Platinum 8Pack Edt.,Super Flower,
Super Flower Leadex 80 PLUS Titanium,Super Flower,601-750W
Super Flower Leadex 80 PLUS Titanium,Super Flower,901-1200W
Super Flower Leadex 80 PLUS Titanium,Super Flower,751-900W
Super Flower Leadex 80 PLUS Titanium,Super Flower,
Super Flower Leadex II,Super Flower,901-1200W
Super Flower Leadex II,Super Flower,751-900W
Super Flower Leadex II,Super Flower,751-900W
Super Flower Leadex II 80 PLUS Gold,Super Flower,901-1200W
Super Flower Leadex II 80 PLUS Gold,Super Flower,901-1200W
Super Flower Leadex II 80 PLUS Gold,Super Flower,901-1200W
Super Flower Leadex Platinum Special Edition,Super Flower,901-1200W
Super Flower Leadex Platinum Special Edition 80 PLUS Platin,Super Flower,901-1200W
Thermaltake Berlin,Thermaltake,601-750W
Thermaltake Cologne,Thermaltake,601-750W
Thermaltake Frankfurt,Thermaltake,751-900W
Thermaltake Hamburg,Thermaltake,451-600W
Thermaltake London,Thermaltake,451-600W
Thermaltake Madrid,Thermaltake,751-900W
Thermaltake Munich,Thermaltake,<=450W
Thermaltake Paris,Thermaltake,601-750W
Thermaltake Rome,Thermaltake,601-750W
Thermaltake Smart Pro RGB 80Plus Bronze modular,Thermaltake,601-750W
Thermaltake Smart Pro RGB 80Plus Bronze modular,Thermaltake,601-750W
Thermaltake Smart Pro RGB 80Plus Bronze modular,Thermaltake,751-900W
Thermaltake Smart SE,Thermaltake,601-750W
Thermaltake Smart SE,Thermaltake,451-600W
Thermaltake Toughpower DPS G 80 PLUS Platinum,Thermaltake,901-1200W
Thermaltake Toughpower DPS G RGB 80Plus Gold,Thermaltake,751-900W
Thermaltake Toughpower DPS G RGB 80Plus Gold,Thermaltake,601-750W
Thermaltake Toughpower DPS G RGB 80Plus Gold,Thermaltake,601-750W
Thermaltake Toughpower GF1 A-RGB 80 Plus Gold,Thermaltake,601-750W
Thermaltake Toughpower GF1 A-RGB 80 Plus Gold,Thermaltake,601-750W
Thermaltake Toughpower GF1 A-RGB 80 Plus Gold,Thermaltake,751-900W
Thermaltake Toughpower Grand RGB 80 PLUS Gold modular,Thermaltake,601-750W
Thermaltake Toughpower Grand RGB 80 PLUS Gold modular,Thermaltake,601-750W
Thermaltake Toughpower Grand RGB 80 PLUS Gold modular,Thermaltake,751-900W
Thermaltake Toughpower iRGB 80 PLUS Platinum,Thermaltake,901-1200W
Thermaltake Toughpower iRGB 80 PLUS Platinum,Thermaltake,901-1200W
Thermaltake Toughpower iRGB 80 PLUS Titanium,Thermaltake,
Thermaltake Toughpower PF1 A-RGB 80 Plus Platinum,Thermaltake,751-900W
Thermaltake Toughpower PF1 A-RGB 80 Plus Platinum,Thermaltake,901-1200W
Thermaltake Toughpower PF1 A-RGB 80 Plus Platinum,Thermaltake,901-1200W
Thermaltake TR2 S,Thermaltake,451-600W
Thermaltake TR2 S,Thermaltake,601-750W
Thermaltake TR2 S 80 PLUS,Thermaltake,451-600W
XFX Black Edition,XFX,901-1200W
XFX Black Edition,XFX,601-750W
XFX Black Edition,XFX,751-900W
XFX Core Edition PRO V2,XFX,<=450W
XFX PRO1000W Black Edition Full Modular,XFX,901-1200W
XFX TS-Series Single Rail,XFX,601-750W
XFX TS-Series Single Rail,XFX,451-600W
XFX TS-Series Single Rail,XFX,601-750W
XFX XT,XFX,451-600W
XFX XT,XFX,451-600W
XFX XT,XFX,<=450W
XFX XTR Series,XFX,451-600W
XFX XTS Fanless Series,XFX,451-600W
XFX XTS Fanless Series,XFX,451-600W
XFX XXX Edition Pro,XFX,751-900W
Xigmatek Maverick,Xigmatek,<=450W
Xilence Performance A+,Xilence,751-900W
Xilence Performance A+,Xilence,451-600W
Xilence Performance A+,Xilence,601-750W
Xilence Performance A+,Xilence,<=450W
Xilence Performance A+,Xilence,601-750W
Xilence Performance C Series XP400,Xilence,<=450W
Xilence Performance C Series XP500,Xilence,<=450W
Xilence Performance C Series XP600,Xilence,<=450W
Xilence Performance C Series XP700,Xilence,451-600W
Zalman 1000EBT,Zalman,901-1200W
Zalman 1200EBT 80 PLUS Gold,Zalman,901-1200W
Zalman 500GVM,Zalman,451-600W
Zalman 500TX,Zalman,451-600W
Zalman 600GVM,Zalman,451-600W
Zalman 600TX,Zalman,451-600W
Zalman 650EBT,Zalman,601-750W
Zalman 700GVM,Zalman,601-750W
Zalman 700TX,Zalman,601-750W
Zalman 750EBT 80 PLUS Gold,Zalman,601-750W
Zalman 850EBT,Zalman,751-900W
Zalman ZM1000-EBTII 80 PLUS Gold,Zalman,901-1200W
Zalman ZM1200-EBTII 80 PLUS Gold,Zalman,901-1200W
Zalman ZM700-EBTII 80 PLUS Gold,Zalman,601-750W
Zalman ZM800-EBTII 80 PLUS Gold,Zalman,751-900W
