Name,Producer,Socket,Chipset,Memory Type
ASUS ROG Strix Z590-E Gaming WiFi,ASUS,1200,Z590,DDR4
ASUS ROG Strix Z590-F Gaming WiFi,ASUS,1200,Z590,DDR4
ASUS ROG Strix Z590-I Gaming WiFi,ASUS,1200,Z590,DDR4
ASUS ROG STRIX Z690-A GAMING WIFI D4,ASUS,1700,Z690,DDR4
ASUS ROG STRIX Z690-E GAMING WIFI,ASUS,1700,Z690,DDR5
ASUS ROG STRIX Z690-F GAMING WIFI,ASUS,1700,Z690,DDR5
ASUS ROG STRIX Z690-G GAMING WIFI,ASUS,1700,Z690,DDR5
ASUS ROG STRIX Z690-I GAMING WIFI,ASUS,1700,Z690,DDR5
ASUS ROG WS Z390 PRO,ASUS,1151,Z390,DDR4
ASUS ROG Zenith II Extreme,ASUS,TRX40,TRX40,DDR4
ASUS ROG Zenith II Extreme ALPHA,ASUS,TRX40,TRX40,DDR4
Asus SABERTOOTH X99,Asus,2011-v3,X99,DDR4
ASUS Sabertooth Z170 Mark 1,ASUS,1151,Z170,DDR4
ASUS SABERTOOTH Z170 S USB3.1/SATA600/SATAe/M.2/DP/HDMI,Asus,1151,Z170,DDR4
ASUS STRIX B250I Gaming,ASUS,1151,B250,DDR4
"ASUS STRIX B350-I Gaming, Rog",ASUS,AM4,B350,DDR4
ASUS STRIX H270F Gaming,ASUS,1151,H270,DDR4
ASUS STRIX H270I Gaming,ASUS,1151,H270,DDR4
"ASUS STRIX X370-I Gaming, RoG",ASUS,AM4,X370,DDR4
"ASUS Strix X470-I Gaming, RoG",ASUS,AM4,X470,DDR4
"ASUS STRIX Z270E Gaming, RoG",ASUS,1151,Z270,DDR4
"ASUS STRIX Z270F Gaming, RoG",ASUS,1151,Z270,DDR4
"ASUS STRIX Z270H Gaming, RoG",ASUS,1151,Z270,DDR4
ASUS STRIX Z270I Gaming ROG,ASUS,1151,Z270,DDR4
"ASUS STRIX Z370-E Gaming, RoG",ASUS,1151,Z370,DDR4
ASUS TUF B350M-PLUS Gaming,ASUS,AM4,B350,DDR4
Asus TUF B350M-PLUS GAMING,Asus,AM4,B350,DDR4
Asus TUF B360-PLUS GAMING,Asus,1151,B360,DDR4
ASUS TUF B360-Plus Gaming,ASUS,1151,B360,DDR4
ASUS TUF B360-Pro Gaming,ASUS,1151,B360,DDR4
ASUS TUF B360-Pro Gaming (Wi-Fi),ASUS,1151,B360,DDR4
Asus TUF B360-PRO GAMING (WI-FI),Asus,1151,B360,DDR4
ASUS TUF B360M-E Gaming,ASUS,1151,B360,DDR4
Asus TUF B360M-E GAMING,Asus,1151,B360,DDR4
ASUS TUF B360M-Plus Gaming,ASUS,1151,B360,DDR4
Asus TUF B360M-PLUS GAMING,Asus,1151,B360,DDR4
Asus TUF B450-PLUS GAMING,Asus,AM4,B450,DDR4
"ASUS TUF B450-Plus Gaming, AMD B450",ASUS,AM4,B450,DDR4
ASUS TUF B450-PLUS II Gaming,ASUS,AM4,B450,DDR4
"ASUS TUF B450-PRO Gaming, AMD B450",ASUS,AM4,B450,DDR4
"ASUS TUF B450M-Plus Gaming, AMD B450",ASUS,AM4,B450,DDR4
ASUS TUF B450M-Plus II Gaming,ASUS,AM4,B450,DDR4
"ASUS TUF B450M-PRO Gaming, AMD B450",ASUS,AM4,B450,DDR4
ASUS TUF B450M-PRO II Gaming,ASUS,AM4,B450,DDR4
ASUS TUF B460-PLUS Gaming,ASUS,1200,B460,DDR4
ASUS TUF B460-PRO (WI-FI) Gaming,ASUS,1200,B460,DDR4
ASUS TUF B460M-PLUS (WI-FI) Gaming,ASUS,1200,B460,DDR4
ASUS TUF Gaming B550-PLUS,ASUS,AM4,B550,DDR4
ASUS TUF Gaming B550-PLUS (Wi-Fi) II,ASUS,AM4,B550,DDR4
ASUS TUF Gaming B550M-PLUS,ASUS,AM4,B550,DDR4
ASUS TUF Gaming B550M-PLUS (Wi-Fi),ASUS,AM4,B550,DDR4
ASUS TUF Gaming B550M-PLUS Wi-Fi II,ASUS,AM4,B550,DDR4
ASUS TUF Gaming B560-PLUS Gaming (WI-FI),ASUS,1200,B560,DDR4
ASUS TUF Gaming B560M-E Gaming (WI-FI),ASUS,1200,B560,DDR4
ASUS TUF Gaming B560M-PLUS,ASUS,1200,B560,DDR4
ASUS TUF Gaming B560M-PLUS (WI-FI),ASUS,1200,B560,DDR4
ASUS TUF Gaming B660M-E D4,ASUS,1700,B660,DDR4
ASUS TUF Gaming B660M-Plus D4,ASUS,1700,B660,DDR4
ASUS TUF Gaming B660M-Plus WiFi D4,ASUS,1700,B660,DDR4
ASUS TUF Gaming B760-Plus WiFi D4,ASUS,1700,B760,DDR4
ASUS TUF Gaming B760M-Plus D4,ASUS,1700,B760,DDR4
ASUS TUF Gaming B760M-Plus WiFi D4,ASUS,1700,B760,DDR4
ASUS TUF Gaming H570-Pro,ASUS,1200,H570,DDR4
ASUS TUF Gaming H570-Pro (WI-FI),ASUS,1200,H570,DDR4
ASUS TUF Gaming H770-Pro WiFi,ASUS,1700,H770,DDR5
"ASUS TUF Gaming X570-Plus (WI-FI), AMD X570",ASUS,AM4,X570,DDR4
"ASUS TUF Gaming X570-Plus, AMD X570",ASUS,AM4,X570,DDR4
ASUS TUF Gaming X570-Pro Wifi II,ASUS,AM4,X570,DDR4
ASUS TUF Gaming X670E-Plus,ASUS,AM5,X670E,DDR5
ASUS TUF Gaming X670E-Plus WiFi,ASUS,AM5,X670E,DDR5
ASUS TUF Gaming Z590-PLUS,ASUS,1200,Z590,DDR4
ASUS TUF Gaming Z590-PLUS WiFi,ASUS,1200,Z590,DDR4
ASUS TUF GAMING Z690-PLUS D4,ASUS,1700,Z690,DDR4
ASUS TUF Gaming Z790-Plus WiFi D4,ASUS,1700,Z790,DDR4
ASUS TUF H310-Plus Gaming,ASUS,1151,H310,DDR4
Asus TUF H310-PLUS GAMING,Asus,1151,H310,DDR4
Asus TUF H310M-PLUS GAMING,Asus,1151,H310,DDR4
ASUS TUF H310M-Plus Gaming,ASUS,1151,H310,DDR4
ASUS TUF H370-Pro Gaming,ASUS,1151,H370,DDR4
ASUS TUF H370-Pro Gaming (Wi-Fi),ASUS,1151,H370,DDR4
ASUS TUF H470-PRO (WI-FI) Gaming,ASUS,1200,H470,DDR4
ASUS TUF H470-PRO Gaming,ASUS,1200,H470,DDR4
ASUS TUF X299 MARK 1,ASUS,2066,X299,DDR4
ASUS TUF X299 MARK 2,ASUS,2066,X299,DDR4
Asus TUF X299 MARK 2,Asus,2066,X299,DDR4
ASUS TUF X470-Plus Gaming,ASUS,AM4,X470,DDR4
Asus TUF X470-PLUS GAMING,Asus,AM4,X470,DDR4
Asus TUF Z270 MARK 1,Asus,1151,Z270,DDR4
Asus TUF Z270 MARK 2,Asus,1151,Z270,DDR4
Asus TUF Z370-PLUS GAMING,Asus,1151,Z370,DDR4
ASUS TUF Z370-PLUS Gaming,ASUS,1151,Z370,DDR4
Asus TUF Z370-PRO GAMING,Asus,1151,Z370,DDR4
"ASUS TUF Z370-PRO Gaming, RoG",ASUS,1151,Z370,DDR4
ASUS TUF Z390-PLUS Gaming,ASUS,1151,Z390,DDR4
ASUS TUF Z390-PLUS Gaming Wi-Fi,ASUS,1151,Z390,DDR4
ASUS TUF Z390-PRO Gaming,ASUS,1151,Z390,DDR4
ASUS TUF Z390M-PRO Gaming,ASUS,1151,Z390,DDR4
ASUS TUF Z390M-PRO Gaming Wi-Fi,ASUS,1151,Z390,DDR4
ASUS TUF Z490-PLUS Gaming,ASUS,1200,Z490,DDR4
ASUS TUF Z490-PLUS Gaming Wi-Fi,ASUS,1200,Z490,DDR4
ASUS WS X299 PRO,ASUS,2066,X299,DDR4
ASUS WS X299 Pro/SE,ASUS,2066,X299,DDR4
ASUS WS X299 SAGE,ASUS,2066,X299,DDR4
ASUS WS X299 SAGE/10G,ASUS,2066,X299,DDR4
ASUS X99 Sabertooth,ASUS,2011-V3,X99,DDR4
ASUS X99 STRIX Gaming,ASUS,2011-V3,X99,DDR4
ASUS X99-A II,ASUS,2011-V3,X99,DDR4
Asus X99-DELUXE II,Asus,2011-v3,X99,DDR4
ASUS X99-E,ASUS,2011-V3,X99,DDR4
Asus X99-E,Asus,2011-v3,X99,DDR4
ASUS X99-E WS 2xGL/SATA600/eSATA/SATAe/M.2 SSI Workstation,Asus,2011-3,X99 Express,DDR4
ASUS X99-E WS USB 3.1,ASUS,2011-V3,X99,DDR4
ASUS X99-E-10G WS,ASUS,2011-V3,X99,DDR4
Asus X99-E-10G WS,Asus,2011-v3,X99,DDR4
ASUS X99-M WS,ASUS,2011-V3,X99,DDR4
ASUS Z10PA-D8,ASUS,2011-V3,C612,DDR4
ASUS Z10PE-D16 WS,ASUS,2011-V3,C612,DDR4
Asus Z10PE-D16 WS,Asus,2011-3,C612 PCH,DDR4
ASUS Z10PE-D8 WS,ASUS,2011-V3,C612,DDR4
Asus Z10PE-D8 WS,Asus,2011-v3,C612 PCH,DDR4
ASUS Z170 Pro Gaming,ASUS,1151,Z170,DDR4
ASUS Z170 Pro Gaming Aura,ASUS,1151,Z170,DDR4
Asus Z170-A,Asus,1151,Z170,DDR4
ASUS Z170-A,ASUS,1151,Z170,DDR4
ASUS Z170-Deluxe,ASUS,1151,Z170,DDR4
Asus Z170-E,Asus,1151,Z170,DDR4
ASUS Z170-E USB3.1/M.2/SATAe/SATA600/DVI/HDMI Z170,Asus,1151,Z170,DDR4
ASUS Z170-K,ASUS,1151,Z170,DDR4
Asus Z170-K,Asus,1151,Z170,DDR4
ASUS Z170-PRO,ASUS,1151,Z170,DDR4
Asus Z170-PRO,Asus,1151,Z170,DDR4
ASUS Z170-WS,ASUS,1151,Z170,DDR4
ASUS Z170-WS 2x GLAN/USB3.1/SATA600/M.2/DP/HDMI,Asus,1151,Z170,DDR4
Asus Z170I PRO GAMING,Asus,1151,Z170,DDR4
ASUS Z170I Pro Gaming,ASUS,1151,Z170,DDR4
ASUS Z170M-Plus,ASUS,1151,Z170,DDR4
Biostar A320MD Pro,Biostar,AM4,A320,DDR4
Biostar B350ET2,Biostar,AM4,B350,DDR4
Biostar B350GT3,Biostar,AM4,B350,DDR4
Biostar B350GT5,Biostar,AM4,B350,DDR4
Biostar B350GTN,Biostar,AM4,B350,DDR4
Biostar X370GT3,Biostar,AM4,X370,DDR4
Biostar X370GT5,Biostar,AM4,X370,DDR4
Biostar X370GT7,Biostar,AM4,X370,DDR4
Biostar X370GTN,Biostar,AM4,X370,DDR4
Biostar Z370GT6,Biostar,1151,Z370,DDR4
EVGA X299 Dark,EVGA,2066,X299,DDR4
EVGA X299 FTW-K,EVGA,2066,X299,DDR4
EVGA X299 Micro,EVGA,2066,X299,DDR4
EVGA X99 FTW,EVGA,2011-V3,X99,DDR4
EVGA X99 FTW K,EVGA,2011-V3,X99,DDR4
EVGA X99 Micro2,EVGA,2011-V3,X99,DDR4
EVGA Z170 Classified 4-Way,EVGA,1151,Z170,DDR4
EVGA Z170 Classified K,EVGA,1151,Z170,DDR4
EVGA Z170 FTW,EVGA,1151,Z170,DDR4
EVGA Z170 Stinger,EVGA,1151,Z170,DDR4
EVGA Z270 Classified K,EVGA,1151,Z270,DDR4
EVGA Z270 FTW K,EVGA,1151,Z270,DDR4
EVGA Z270 Stinger,EVGA,1151,Z270,DDR4
EVGA Z370 Classified K,EVGA,1151,Z370,DDR4
EVGA Z370 FTW,EVGA,1151,Z370,DDR4
EVGA Z370 Micro ATX,EVGA,1151,Z370,DDR4
"Gigabyte A320M-DS2, AMD A320-",Gigabyte,AM4,A320,DDR4
Gigabyte A320M-S2H,Gigabyte,AM4,A320,DDR4
Gigabyte A520 Aorus Elite,Gigabyte,AM4,A520,DDR4
Gigabyte A520I AC,Gigabyte,AM4,A520,DDR4
Gigabyte A520M DS3H,Gigabyte,AM4,A520,DDR4
Gigabyte A520M H,Gigabyte,AM4,A520,DDR4
Gigabyte A520M S2H,Gigabyte,AM4,A520,DDR4
"Gigabyte AB350-Gaming 3, AMD B350",Gigabyte,AM4,B350,DDR4
"Gigabyte AB350-Gaming, AMD B350",Gigabyte,AM4,B350,DDR4
"Gigabyte AB350M Gaming 3, AMD B350-",Gigabyte,AM4,B350,DDR4
"Gigabyte AB350M-HD3, AMD B350",Gigabyte,AM4,B350,DDR4
Gigabyte AB350N Gaming WIFI,Gigabyte,AM4,B350,DDR4
Gigabyte Aorus X299 Ultra Gaming Pro,Gigabyte,2066,X299,DDR4
Gigabyte Aorus X299-Gaming 3,Gigabyte,2066,X299,DDR4
Gigabyte Aorus X299-Gaming 3 Pro,Gigabyte,2066,X299,DDR4
Gigabyte Aorus X299-Gaming 7,Gigabyte,2066,X299,DDR4
Gigabyte Aorus X299-Gaming 7 Pro,Gigabyte,2066,X299,DDR4
Gigabyte Aorus X299-Gaming 9,Gigabyte,2066,X299,DDR4
Gigabyte Aorus X299-Ultra Gaming,Gigabyte,2066,X299,DDR4
Gigabyte Aorus Z270X-Gaming 7,Gigabyte,1151,Z270,DDR4
Gigabyte Aorus Z270X-Gaming 8,Gigabyte,1151,Z270,DDR4
Gigabyte Aorus Z270X-Gaming K5,Gigabyte,1151,Z270,DDR4
"Gigabyte AX370-Gaming 3, AMD X370",Gigabyte,AM4,X370,DDR4
"Gigabyte AX370-Gaming 5, AMD X370",Gigabyte,AM4,X370,DDR4
"Gigabyte AX370-Gaming K3, AMD X370",Gigabyte,AM4,X370,DDR4
"Gigabyte AX370-Gaming K5, AMD X370-",Gigabyte,AM4,X370,DDR4
"Gigabyte AX370-Gaming K7, AMD X370",Gigabyte,AM4,X370,DDR4
"Gigabyte AX370M-Gaming 3, AMD X370-",Gigabyte,AM4,X370,DDR4
Gigabyte B150M-D3H,Gigabyte,1151,B150,DDR4
Gigabyte B250-FinTech 11+1 BTC Edition,Gigabyte,1151,B250,DDR4
Gigabyte B250-HD3P,Gigabyte,1151,B250,DDR4
Gigabyte B250M-D2V,Gigabyte,1151,B250,DDR4
Gigabyte B250M-D3H,Gigabyte,1151,B250,DDR4
Gigabyte B250N Phoenix WIFI,Gigabyte,1151,Z270,DDR4
Gigabyte B360 Aorus Gaming 3 WIFI,Gigabyte,1151,B360,DDR4
Gigabyte B360M D2V,Gigabyte,1151,B360,DDR4
Gigabyte B360M H,Gigabyte,1151,B360,DDR4
Gigabyte B360N WIFI,Gigabyte,1151,B360,DDR4
"Gigabyte B450 Aorus Elite, AMD B450",Gigabyte,AM4,B450,DDR4
"Gigabyte B450 Aorus Pro, AMD B450",Gigabyte,AM4,B450,DDR4
"Gigabyte B450 Gaming X, AMD B450",Gigabyte,AM4,B450,DDR4
"Gigabyte B450 I Aorus Pro WiFi, AMD B450",Gigabyte,AM4,B450,DDR4
Gigabyte B450M DS3H V2,Gigabyte,AM4,B450,DDR4
"Gigabyte B450M DS3H, AMD B450",Gigabyte,AM4,B450,DDR4
"Gigabyte B450M Gaming, AMD B450",Gigabyte,AM4,B450,DDR4
Gigabyte B450M H,Gigabyte,AM4,B450,DDR4
Gigabyte B450M S2H V2,Gigabyte,AM4,B450,DDR4
"Gigabyte B450M S2H, AMD B450",Gigabyte,AM4,B450,DDR4
Gigabyte B460M Gaming HD,Gigabyte,1200,B460,DDR4
Gigabyte B550 Aorus Elite,Gigabyte,AM4,B550,DDR4
Gigabyte B550 Aorus Elite AX V2,Gigabyte,AM4,B550,DDR4
Gigabyte B550 Aorus Elite V2,Gigabyte,AM4,B550,DDR4
Gigabyte B550 Aorus Master,Gigabyte,AM4,B550,DDR4
Gigabyte B550 Aorus Pro,Gigabyte,AM4,B550,DDR4
Gigabyte B550 Aorus Pro AC,Gigabyte,AM4,B550,DDR4
Gigabyte B550 Gaming X,Gigabyte,AM4,B550,DDR4
Gigabyte B550 Gaming X V2 Rev 1.1,Gigabyte,AM4,B550,DDR4
Gigabyte B550 Vision D,Gigabyte,AM4,B550,DDR4
Gigabyte B550 Vision D-P,Gigabyte,AM4,B550,DDR4
Gigabyte B550I Aorus Pro AX,Gigabyte,AM4,B550,DDR4
Gigabyte B550M Aorus Elite,Gigabyte,AM4,B550,DDR4
Gigabyte B550M Aorus Pro,Gigabyte,AM4,B550,DDR4
Gigabyte B550M Aorus Pro P,Gigabyte,AM4,B550,DDR4
Gigabyte B550M DS3H,Gigabyte,AM4,B550,DDR4
Gigabyte B550M Gaming,Gigabyte,AM4,B550,DDR4
Gigabyte B550M S2H,Gigabyte,AM4,B550,DDR4
Gigabyte B560 Aorus Pro AX,Gigabyte,1200,B560,DDR4
Gigabyte B560 HD3,Gigabyte,1200,B560,DDR4
Gigabyte B560I Aorus Pro AX,Gigabyte,1200,B560,DDR4
Gigabyte B560M Aorus Elite,Gigabyte,1200,B560,DDR4
Gigabyte B560M Aorus Pro,Gigabyte,1200,B560,DDR4
Gigabyte B560M Aorus Pro AX,Gigabyte,1200,B560,DDR4
Gigabyte B560M D3H,Gigabyte,1200,B560,DDR4
Gigabyte B560M DS3H,Gigabyte,1200,B560,DDR4
Gigabyte B560M DS3H V2,Gigabyte,1200,B560,DDR4
Gigabyte B560M H,Gigabyte,1200,B560,DDR4
GIGABYTE B650M AORUS Elite AX (rev. 1.0),Gigabyte,AM5,B650,DDR5
Gigabyte B660 A Master DDR4,Gigabyte,1700,B660,DDR4
Gigabyte B660 Aorus Master,Gigabyte,1700,B660,DDR5
Gigabyte B660 DS3H AX DDR4,Gigabyte,1700,B660,DDR4
Gigabyte B660 DS3H DDR4,Gigabyte,1700,B660,DDR4
Gigabyte B660 Gaming X AX DDR4,Gigabyte,1700,B660,DDR4
Gigabyte B660 Gaming X DDR4,Gigabyte,1700,B660,DDR4
Gigabyte B660I Aorus PRO DDR4,Gigabyte,1700,B660,DDR4
Gigabyte B660M DS3H AX DDR4,Gigabyte,1700,B660,DDR4
Gigabyte B660M DS3H DDR4,Gigabyte,1700,B660,DDR4
Gigabyte B660M G X AX DDR4,Gigabyte,1700,B660,DDR4
GIGABYTE B660M Gaming AC DDR4,Gigabyte,1700,B660,DDR4
Gigabyte B660M Gaming DDR4,Gigabyte,1700,B660,DDR4
Gigabyte B660M Gaming X DDR4,Gigabyte,1700,B660,DDR4
GIGABYTE B760 A Master DDR4,Gigabyte,1700,B760,DDR4
Gigabyte C246-WU4,Gigabyte,2066,C246,DDR4
Gigabyte GA-AB350M-DS3H,Gigabyte,AM4,B350,DDR4
Gigabyte GA-B150M-DS3P GL/USB3.1/M.2/HDMI/DVI/VGA,Gigabyte,1151,B150,DDR4
Gigabyte GA-B150M-HD3 GL/USB3.0/M.2/HDMI/DVI/VGA,Gigabyte,1151,B150,DDR4
Gigabyte GA-B150N Phoenix-WIFI Mini-ITX,Gigabyte,1151,B150,DDR4
Gigabyte GA-H110M-DS2 GL/USB3.0/SATA600/VGA,Gigabyte,1151,H110,DDR4
Gigabyte GA-IMB410N,Gigabyte,1200,H410,DDR4
Gigabyte GA-X150-PLUS WS GL/USB3.0/SATA600/SATAe/M.2 C232,Gigabyte,1151,C232,DDR4
Gigabyte GA-X150M-PRO ECC GL/USB3.0/SATA600/SATAe/M.2 C232,Gigabyte,1151,C232,DDR4
Gigabyte GA-X170-EXTREME ECC 2xGL/USB3.1/TB 3/SATAe/M.2 C236,Gigabyte,1151,C236,DDR4
Gigabyte GA-Z170X-Gaming 7 2x GB-LAN/SATAe/M.2/USB3.1,Gigabyte,1151,Z170,DDR4
Gigabyte H110-D3A BTC Edition,Gigabyte,1151,H110,DDR4
Gigabyte H110M-S2HP,Gigabyte,1151,H110,DDR4
Gigabyte H110TN-E,Gigabyte,1151,H110,DDR4
Gigabyte H110TN-M,Gigabyte,1151,H110,DDR4
Gigabyte H170-D3HP,Gigabyte,1151,H170,DDR4
Gigabyte H170-HD3,Gigabyte,1151,H170,DDR4
Gigabyte H170M-D3H,Gigabyte,1151,H170,DDR4
Gigabyte H170N-WIFI,Gigabyte,1151,H170,DDR4
Gigabyte H270-Gaming 3,Gigabyte,1151,H270,DDR4
Gigabyte H270-HD3,Gigabyte,1151,H270,DDR4
Gigabyte H270N-WIFI,Gigabyte,1151,H270,DDR4
Gigabyte H310M S2H,Gigabyte,1151,H310,DDR4
Gigabyte H310M S2H 2.0,Gigabyte,1151,H310,DDR4
Gigabyte H370 Aorus Gaming 3 WIFI,Gigabyte,1151,H370,DDR4
Gigabyte H370 HD3,Gigabyte,1151,H370,DDR4
Gigabyte H370M D3H GSM,Gigabyte,1151,H370,DDR4
Gigabyte H410M H V3,Gigabyte,1200,H510,DDR4
Gigabyte H410M S2H,Gigabyte,1200,H410,DDR4
Gigabyte H410M S2H V2,Gigabyte,1200,H470,DDR4
Gigabyte H410M S2H V3,Gigabyte,1200,H510,DDR4
Gigabyte H470 HD3,Gigabyte,1200,H470,DDR4
Gigabyte H470M DS3H,Gigabyte,1200,H470,DDR4
Gigabyte H510M H,Gigabyte,1200,H510,DDR4
Gigabyte H510M S2H V2,Gigabyte,1200,H510,DDR4
Gigabyte H610I DDR4,Gigabyte,1700,H610,DDR4
Gigabyte H610M H DDR4,Gigabyte,1700,H610,DDR4
Gigabyte H610M S2H DDR4,Gigabyte,1700,H610,DDR4
GIGABYTE MC62-G40,Gigabyte,sWRX8,WRX80,DDR4
Gigabyte MD30-RS0 3xGL/SATA600/Seriell C612 E-,Gigabyte,2011-3,C612,DDR4
Gigabyte MD50-LS0 3xGL/SATA600/Seriell C612 E-,Gigabyte,2011-3,C612,DDR4
Gigabyte MD70-HB1 3xGL/USB3.0/SATA600/Seriell C612 E- 2x,Gigabyte,2011-3,C612,DDR4
Gigabyte Q170TN,Gigabyte,1151,Q170,DDR4
Gigabyte TRX40 Aorus Master,Gigabyte,TRX40,TRX40,DDR4
Gigabyte TRX40 Aorus Pro WiFi,Gigabyte,TRX40,TRX40,DDR4
Gigabyte TRX40 Aorus Xtreme,Gigabyte,TRX40,TRX40,DDR4
Gigabyte TRX40 Designare,Gigabyte,TRX40,TRX40,DDR4
Gigabyte W480 Vision D,Gigabyte,1200,W480,DDR4
Gigabyte W480 Vision W,Gigabyte,1200,W480,DDR4
Gigabyte W480M Vision W,Gigabyte,1200,W480,DDR4
Gigabyte X299 Designare EX,Gigabyte,2066,X299,DDR4
Gigabyte X299 UD4,Gigabyte,2066,X299,DDR4
Gigabyte X299 UD4 Pro,Gigabyte,2066,X299,DDR4
Gigabyte X299-WU8,Gigabyte,2066,X299,DDR4
Gigabyte X299X Aorus Master,Gigabyte,2066,X299,DDR4
Gigabyte X299X Aorus Xtreme Waterforce,Gigabyte,2066,X299,DDR4
Gigabyte X299X Designare 10G,Gigabyte,2066,X299,DDR4
Gigabyte X299X Designare 10G (Rev 1.0),Gigabyte,2066,X299,DDR4
Gigabyte X399 Aorus Xtreme,Gigabyte,TR4,X399,DDR4
Gigabyte X399 Designare EX,Gigabyte,TR4,X399,DDR4
Gigabyte X470 Aorus Gaming 5 WiFi,Gigabyte,AM4,X470,DDR4
Gigabyte X470 Aorus Gaming 7 WiFi,Gigabyte,AM4,X470,DDR4
"Gigabyte X470 Aorus Ultra Gaming, AMD X470",Gigabyte,AM4,X470,DDR4
"Gigabyte X570 Aorus Master, AMD X570",Gigabyte,AM4,X570,DDR4
"Gigabyte X570 Aorus Ultra, AMD X570",Gigabyte,AM4,X570,DDR4
"Gigabyte X570 Aorus Xtreme, AMD X570",Gigabyte,AM4,X570,DDR4
"Gigabyte X570 UD, AMD X570",Gigabyte,AM4,X570,DDR4
Gigabyte X570S Aero G,Gigabyte,AM4,X570,DDR4
Gigabyte X570S Aorus Elite,Gigabyte,AM4,X570,DDR4
Gigabyte X570S Aorus Master,Gigabyte,AM4,X570,DDR4
Gigabyte X570S Aorus Pro AX,Gigabyte,AM4,X570,DDR4
Gigabyte X570S UD,Gigabyte,AM4,X570,DDR4
GIGABYTE X670 Gaming X AX,Gigabyte,AM5,X670,DDR5
GIGABYTE X670E AORUS Master,Gigabyte,AM5,X670E,DDR5
GIGABYTE X670E AORUS Xtreme,Gigabyte,AM5,X670E,DDR5
Gigabyte X99 Designare EX,Gigabyte,2011-V3,X99,DDR4
Gigabyte X99 Ultra Gaming,Gigabyte,2011-V3,X99,DDR4
Gigabyte X99 Ultra Gaming-EK,Gigabyte,2011-V3,X99,DDR4
Gigabyte X99-Gaming 5P,Gigabyte,2011-V3,X99,DDR4
Gigabyte X99-UD5 WIFI,Gigabyte,2011-V3,X99,DDR4
